homestatecode,salestatecode,month,year,txn_count,salestatename,homestatename
5,1,10,2023,4,JAMMU AND KASHMIR,UTTARAKHAND
6,1,10,2023,8,JAMMU AND KASHMIR,HARYANA
7,1,10,2023,3,JAMMU AND KASHMIR,DELHI
8,1,10,2023,5,JAMMU AND KASHMIR,RAJASTHAN
9,1,10,2023,1279,JAMMU AND KASHMIR,UTTAR PRADESH
10,1,10,2023,785,JAMMU AND KASHMIR,BIHAR
18,1,10,2023,30,JAMMU AND KASHMIR,ASSAM
19,1,10,2023,5,JAMMU AND KASHMIR,WEST BENGAL
22,1,10,2023,352,JAMMU AND KASHMIR,CHHATTISGARH
23,1,10,2023,738,JAMMU AND KASHMIR,MADHYA PRADESH
24,1,10,2023,1,JAMMU AND KASHMIR,GUJARAT
29,1,10,2023,1,JAMMU AND KASHMIR,KARNATAKA
33,1,10,2023,1,JAMMU AND KASHMIR,TAMIL NADU
5,2,10,2023,20,HIMACHAL PRADESH,UTTARAKHAND
6,2,10,2023,23,HIMACHAL PRADESH,HARYANA
7,2,10,2023,14,HIMACHAL PRADESH,DELHI
8,2,10,2023,1,HIMACHAL PRADESH,RAJASTHAN
9,2,10,2023,4759,HIMACHAL PRADESH,UTTAR PRADESH
10,2,10,2023,1341,HIMACHAL PRADESH,BIHAR
19,2,10,2023,6,HIMACHAL PRADESH,WEST BENGAL
20,2,10,2023,3,HIMACHAL PRADESH,JHARKHAND
22,2,10,2023,11,HIMACHAL PRADESH,CHHATTISGARH
23,2,10,2023,82,HIMACHAL PRADESH,MADHYA PRADESH
27,2,10,2023,1,HIMACHAL PRADESH,MAHARASHTRA
6,3,10,2023,3,PUNJAB,HARYANA
7,3,10,2023,2,PUNJAB,DELHI
9,3,10,2023,162,PUNJAB,UTTAR PRADESH
10,3,10,2023,181,PUNJAB,BIHAR
18,3,10,2023,1,PUNJAB,ASSAM
19,3,10,2023,1,PUNJAB,WEST BENGAL
23,3,10,2023,6,PUNJAB,MADHYA PRADESH
5,4,10,2023,4,CHANDIGARH,UTTARAKHAND
9,4,10,2023,5,CHANDIGARH,UTTAR PRADESH
10,4,10,2023,10,CHANDIGARH,BIHAR
6,5,10,2023,45,UTTARAKHAND,HARYANA
7,5,10,2023,95,UTTARAKHAND,DELHI
8,5,10,2023,4,UTTARAKHAND,RAJASTHAN
9,5,10,2023,6995,UTTARAKHAND,UTTAR PRADESH
10,5,10,2023,1479,UTTARAKHAND,BIHAR
19,5,10,2023,2,UTTARAKHAND,WEST BENGAL
22,5,10,2023,12,UTTARAKHAND,CHHATTISGARH
23,5,10,2023,32,UTTARAKHAND,MADHYA PRADESH
24,5,10,2023,1,UTTARAKHAND,GUJARAT
27,5,10,2023,3,UTTARAKHAND,MAHARASHTRA
1,6,10,2023,8,HARYANA,JAMMU AND KASHMIR
2,6,10,2023,5,HARYANA,HIMACHAL PRADESH
5,6,10,2023,271,HARYANA,UTTARAKHAND
7,6,10,2023,670,HARYANA,DELHI
8,6,10,2023,830,HARYANA,RAJASTHAN
9,6,10,2023,31565,HARYANA,UTTAR PRADESH
10,6,10,2023,24121,HARYANA,BIHAR
18,6,10,2023,53,HARYANA,ASSAM
19,6,10,2023,185,HARYANA,WEST BENGAL
20,6,10,2023,46,HARYANA,JHARKHAND
21,6,10,2023,33,HARYANA,ODISHA
22,6,10,2023,120,HARYANA,CHHATTISGARH
23,6,10,2023,5214,HARYANA,MADHYA PRADESH
24,6,10,2023,21,HARYANA,GUJARAT
27,6,10,2023,17,HARYANA,MAHARASHTRA
29,6,10,2023,1,HARYANA,KARNATAKA
1,7,10,2023,55,DELHI,JAMMU AND KASHMIR
2,7,10,2023,32,DELHI,HIMACHAL PRADESH
5,7,10,2023,4190,DELHI,UTTARAKHAND
6,7,10,2023,3283,DELHI,HARYANA
8,7,10,2023,1939,DELHI,RAJASTHAN
9,7,10,2023,145608,DELHI,UTTAR PRADESH
10,7,10,2023,161549,DELHI,BIHAR
13,7,10,2023,3,DELHI,NAGALAND
14,7,10,2023,2,DELHI,MANIPUR
16,7,10,2023,5,DELHI,TRIPURA
18,7,10,2023,239,DELHI,ASSAM
19,7,10,2023,1547,DELHI,WEST BENGAL
